"country","state","count"
RU,"Mariy El, Respublika",1
RU,Moskva,2
RW,Ville de Kigali,1
SA,Ash Sharqiyah,4
SA,Ar Riyad,10
SA,Najran,3
SA,Al Jawf,4
SE,Stockholms lan,19
SE,Jonkopings lan,2
SE,Orebro lan,1
SE,Skane lan,14
SG,Singapore,228
SK,Presovsky kraj,1
SK,Banskobystricky kraj,1
SV,San Salvador,11
TH,Krung Thep Maha Nakhon,41
TN,Mahdia,1
TN,Nabeul,1
TN,L'Ariana,1
TN,Tunis,1
TR,Ankara,3
TR,Sanliurfa,11
TR,Kayseri,5
TR,Rize,4
TR,Kocaeli,1
TR,Antalya,1
TR,Istanbul,36
TR,Konya,2
TW,Tainan,1
TW,New Taipei,1
TW,Taipei,19
TZ,Dar es Salaam,5
UA,Kyiv,1
UA,Chernivetska oblast,1
UA,Ivano-Frankivska oblast,1
US,New Hampshire,9
US,Arizona,13
US,Colorado,2
US,South Carolina,3
US,Montana,12
US,Wisconsin,3
US,Oregon,26
US,Nevada,8
US,Tennessee,9
US,Texas,128
US,Massachusetts,5
US,Louisiana,2
US,Ohio,11
US,Alaska,6
US,California,369
US,Arkansas,2
US,New Jersey,57
US,North Carolina,91
US,Connecticut,23
US,Virginia,29
US,Maine,3
US,Utah,8
US,Maryland,14
US,Florida,17
US,Washington,127
US,Georgia,29
US,Iowa,6
US,Illinois,53
US,New York,65
US,Michigan,9
US,Hawaii,9
US,Indiana,1
US,Missouri,16
UZ,Toshkent,3
VN,Tra Vinh,3
VN,Can Tho,1
VN,Da Nang,26
VN,Ha Noi,31
VN,Dak Lak,11
VN,Ho Chi Minh,1
ZA,North-West,1
ZA,Gauteng,40
ZA,Western Cape,21
ZW,Harare,3
